Sr_No,City,MinTemp_MaxTemp,MinTemp,MaxTemp,Rain,Activity_Id
1,New York,-35 to 0,-35,0,Raining,A1
2,New York,-35 to 0,-35,0,Not Raining,A2
3,New York,-35 to 0,-35,0,May Rain,A3
4,New York,1 to 5,1,5,Raining,A4
5,New York,1 to 5,1,5,Not Raining,A5
6,New York,1 to 5,1,5,May Rain,A6
7,New York,6 to 20,6,20,Raining,A7
8,New York,6 to 20,6,20,Not Raining,A8
9,New York,6 to 20,6,20,May Rain,A9
10,New York,21 to 27,21,27,Raining,A10
11,New York,21 to 27,21,27,Not Raining,A11
12,New York,21 to 27,21,27,May Rain,A12
13,New York,28 to 35,28,35,Raining,A13
14,New York,28 to 35,28,35,Not Raining,A14
15,New York,28 to 35,28,35,May Rain,A15
16,New York,36 to 50,36,50,Raining,A16
17,New York,36 to 50,36,50,Not Raining,A17
18,New York,36 to 50,36,50,May Rain,A18
19,Tokyo,-35 to 0,-35,0,Raining,A19
20,Tokyo,-35 to 0,-35,0,Not Raining,A20
21,Tokyo,-35 to 0,-35,0,May Rain,A21
22,Tokyo,1 to 5,1,5,Raining,A22
23,Tokyo,1 to 5,1,5,Not Raining,A23
24,Tokyo,1 to 5,1,5,May Rain,A24
25,Tokyo,6 to 20,6,20,Raining,A25
26,Tokyo,6 to 20,6,20,Not Raining,A26
27,Tokyo,6 to 20,6,20,May Rain,A27
28,Tokyo,21 to 27,21,27,Raining,A28
29,Tokyo,21 to 27,21,27,Not Raining,A29
30,Tokyo,21 to 27,21,27,May Rain,A30
31,Tokyo,28 to 35,28,35,Raining,A31
32,Tokyo,28 to 35,28,35,Not Raining,A32
33,Tokyo,28 to 35,28,35,May Rain,A33
34,Tokyo,36 to 50,36,50,Raining,A34
35,Tokyo,36 to 50,36,50,Not Raining,A35
36,Tokyo,36 to 50,36,50,May Rain,A36
37,Paris,-35 to 0,-35,0,Raining,A37
38,Paris,-35 to 0,-35,0,Not Raining,A38
39,Paris,-35 to 0,-35,0,May Rain,A39
40,Paris,1 to 5,1,5,Raining,A40
41,Paris,1 to 5,1,5,Not Raining,A41
42,Paris,1 to 5,1,5,May Rain,A42
43,Paris,6 to 20,6,20,Raining,A43
44,Paris,6 to 20,6,20,Not Raining,A44
45,Paris,6 to 20,6,20,May Rain,A45
46,Paris,21 to 27,21,27,Raining,A46
47,Paris,21 to 27,21,27,Not Raining,A47
48,Paris,21 to 27,21,27,May Rain,A48
49,Paris,28 to 35,28,35,Raining,A49
50,Paris,28 to 35,28,35,Not Raining,A50
51,Paris,28 to 35,28,35,May Rain,A51
52,Paris,36 to 50,36,50,Raining,A52
53,Paris,36 to 50,36,50,Not Raining,A53
54,Paris,36 to 50,36,50,May Rain,A54
55,London,-35 to 0,-35,0,Raining,A55
56,London,-35 to 0,-35,0,Not Raining,A56
57,London,-35 to 0,-35,0,May Rain,A57
58,London,1 to 5,1,5,Raining,A58
59,London,1 to 5,1,5,Not Raining,A59
60,London,1 to 5,1,5,May Rain,A60
61,London,6 to 20,6,20,Raining,A61
62,London,6 to 20,6,20,Not Raining,A62
63,London,6 to 20,6,20,May Rain,A63
64,London,21 to 27,21,27,Raining,A64
65,London,21 to 27,21,27,Not Raining,A65
66,London,21 to 27,21,27,May Rain,A66
67,London,28 to 35,28,35,Raining,A67
68,London,28 to 35,28,35,Not Raining,A68
69,London,28 to 35,28,35,May Rain,A69
70,London,36 to 50,36,50,Raining,A70
71,London,36 to 50,36,50,Not Raining,A71
72,London,36 to 50,36,50,May Rain,A72
73,Sydney,-35 to 0,-35,0,Raining,A73
74,Sydney,-35 to 0,-35,0,Not Raining,A74
75,Sydney,-35 to 0,-35,0,May Rain,A75
76,Sydney,1 to 5,1,5,Raining,A76
77,Sydney,1 to 5,1,5,Not Raining,A77
78,Sydney,1 to 5,1,5,May Rain,A78
79,Sydney,6 to 20,6,20,Raining,A79
80,Sydney,6 to 20,6,20,Not Raining,A80
81,Sydney,6 to 20,6,20,May Rain,A81
82,Sydney,21 to 27,21,27,Raining,A82
83,Sydney,21 to 27,21,27,Not Raining,A83
84,Sydney,21 to 27,21,27,May Rain,A84
85,Sydney,28 to 35,28,35,Raining,A85
86,Sydney,28 to 35,28,35,Not Raining,A86
87,Sydney,28 to 35,28,35,May Rain,A87
88,Sydney,36 to 50,36,50,Raining,A88
89,Sydney,36 to 50,36,50,Not Raining,A89
90,Sydney,36 to 50,36,50,May Rain,A90
91,Cairo,-35 to 0,-35,0,Raining,A91
92,Cairo,-35 to 0,-35,0,Not Raining,A92
93,Cairo,-35 to 0,-35,0,May Rain,A93
94,Cairo,1 to 5,1,5,Raining,A94
95,Cairo,1 to 5,1,5,Not Raining,A95
96,Cairo,1 to 5,1,5,May Rain,A96
97,Cairo,6 to 20,6,20,Raining,A97
98,Cairo,6 to 20,6,20,Not Raining,A98
99,Cairo,6 to 20,6,20,May Rain,A99
100,Cairo,21 to 27,21,27,Raining,A100
101,Cairo,21 to 27,21,27,Not Raining,A101
102,Cairo,21 to 27,21,27,May Rain,A102
103,Cairo,28 to 35,28,35,Raining,A103
104,Cairo,28 to 35,28,35,Not Raining,A104
105,Cairo,28 to 35,28,35,May Rain,A105
106,Cairo,36 to 50,36,50,Raining,A106
107,Cairo,36 to 50,36,50,Not Raining,A107
108,Cairo,36 to 50,36,50,May Rain,A108
109,Moscow,-35 to 0,-35,0,Raining,A109
110,Moscow,-35 to 0,-35,0,Not Raining,A110
111,Moscow,-35 to 0,-35,0,May Rain,A111
112,Moscow,1 to 5,1,5,Raining,A112
113,Moscow,1 to 5,1,5,Not Raining,A113
114,Moscow,1 to 5,1,5,May Rain,A114
115,Moscow,6 to 20,6,20,Raining,A115
116,Moscow,6 to 20,6,20,Not Raining,A116
117,Moscow,6 to 20,6,20,May Rain,A117
118,Moscow,21 to 27,21,27,Raining,A118
119,Moscow,21 to 27,21,27,Not Raining,A119
120,Moscow,21 to 27,21,27,May Rain,A120
121,Moscow,28 to 35,28,35,Raining,A121
122,Moscow,28 to 35,28,35,Not Raining,A122
123,Moscow,28 to 35,28,35,May Rain,A123
124,Moscow,36 to 50,36,50,Raining,A124
125,Moscow,36 to 50,36,50,Not Raining,A125
126,Moscow,36 to 50,36,50,May Rain,A126
