City,MinTemp_MaxTemp,MinTemp,MaxTemp,Rain,Activities
New York,-35 to 0,-35,0,Raining,"Indoor museum tours at Metropolitan Museum of Art, Historical theater visits at Metropolitan Museum of Art, Coffee shop exploration at Metropolitan Museum of Art, Indoor ice skating at Metropolitan Museum of Art, Library visits at Metropolitan Museum of Art"
New York,-35 to 0,-35,0,Not Raining,"Snow sculpture viewing at Central Park, Winter market visits at Central Park, Hot chocolate tasting at local cafes at Central Park, Indoor botanical garden at Central Park, Historical building tours at Central Park"
New York,-35 to 0,-35,0,May Rain,"Art gallery visits at Central Park, Cultural center exploration at Central Park, Bookstore hopping at Central Park, Indoor food markets at Central Park, Historical church tours at Central Park"
New York,1 to 5,1,5,Raining,"Indoor aquarium visits at Metropolitan Museum of Art, Mall shopping at Metropolitan Museum of Art, Movie theater visits at Metropolitan Museum of Art, Art workshops at Metropolitan Museum of Art, Culinary classes at Metropolitan Museum of Art"
New York,1 to 5,1,5,Not Raining,"City walking tours at Central Park, Botanical garden visits at Central Park, Street food tasting at Central Park, Local craft market visits at Central Park, Historical monument tours at Central Park"
New York,1 to 5,1,5,May Rain,"Museum visits at Central Park, Coffee shop hopping at Central Park, Antique shop exploration at Central Park, Artisan bakery tours at Central Park, Photography walks at Central Park"
New York,6 to 20,6,20,Raining,"Indoor sports activities at Metropolitan Museum of Art, Library visits at Metropolitan Museum of Art, Art exhibits at Metropolitan Museum of Art, Science museum exploration at Metropolitan Museum of Art, Indoor rock climbing at Metropolitan Museum of Art"
New York,6 to 20,6,20,Not Raining,"City biking tours at Central Park, Park picnics at Central Park, Outdoor food festivals at Central Park, River cruises at Central Park, Historical walking tours at Central Park"
New York,6 to 20,6,20,May Rain,"Botanical garden visits at Central Park, Flea market shopping at Central Park, Outdoor sculpture exhibits at Central Park, Cultural district exploration at Central Park, Historical church visits at Central Park"
New York,21 to 27,21,27,Raining,"Indoor cultural shows at Metropolitan Museum of Art, Shopping in local markets at Metropolitan Museum of Art, Movie marathon in theaters at Metropolitan Museum of Art, Cooking workshops at Metropolitan Museum of Art, Interactive museum visits at Metropolitan Museum of Art"
New York,21 to 27,21,27,Not Raining,"Beach activities at Central Park, Outdoor concerts at Central Park, City rooftop dining at Central Park, Scenic hikes at Central Park, Historical castle tours at Central Park"
New York,21 to 27,21,27,May Rain,"Outdoor art exhibits at Central Park, Garden tours at Central Park, Riverfront walks at Central Park, Cultural festival participation at Central Park, Scenic photography tours at Central Park"
New York,28 to 35,28,35,Raining,"Indoor water parks at Metropolitan Museum of Art, Shopping centers at Metropolitan Museum of Art, Spa days at Metropolitan Museum of Art, Culinary tasting tours at Metropolitan Museum of Art, Historical museum visits at Metropolitan Museum of Art"
New York,28 to 35,28,35,Not Raining,"Water sports at Central Park, Beach parties at Central Park, Sunset cruises at Central Park, Island hopping at Central Park, Seafood market visits at Central Park"
New York,28 to 35,28,35,May Rain,"Outdoor cafes at Central Park, City bike rides at Central Park, Park sports activities at Central Park, Street art tours at Central Park, Local brewery tours at Central Park"
