Activity_Id,Activities
A1,"Visit the musée d'orsay, Enjoy hot chocolate in montmartre, Explore shakespeare and company."
A2,"Walk around ile de la cité, Visit outdoor christmas markets, Photograph sacré-c?ur."
A3,"Explore palais garnier, Visit galerie vivienne, Enjoy french cuisine in a brasserie."
A4,"Explore centre pompidou, Visit sainte-chapelle, Discover le marais indoor markets."
A5,"Stroll through jardin des tuileries, Visit rodin museum gardens, Walk along the seine."
A6,"Visit conciergerie, Explore latin quarter, Walk around place des vosges"
A7,"Visit musée de l'orangerie, Enjoy wine tasting, Explore hôtel de ville."
A8,"Picnic in champ de mars, Visit luxembourg gardens, Take a seine boat tour."
A9,"Explore marché des enfants rouges, Visit picasso museum, Walk in montparnasse cemetery."
A10,"Visit jacquesmart-andré museum, Attend concert at philharmonie de paris, Explore parc floral de paris."
A11,"Relax at paris plages, Bike in bois de boulogne, Visit marché bastille."
A12,"Tour palais-royal, Visit marché d'aligre, Walk along canal saint-martin."
A13,"Visit grande galerie de l'evolution, Attend théâtre du châtelet, Explore musée du quai branly."
A14,"Relax in parc des buttes-chaumont, Enjoy open-air cinema at parc de la villette, Take a seine night cruise."
A15,"Visit cité des sciences, Explore parc de bercy, Dine in belleville."
A16,"Explore musée des arts et métiers, Attend moulin rouge, Visit bibliothèque nationale de france."
A17,"Swim at piscine joséphine baker, Evening stroll in jardin des plantes, Visit arab world institute rooftop."
A18,"Explore fondation louis vuitton, Visit atelier des lumières, Culinary tour on rue mouffetard."
A19,"Visit the frick collection, Indoor ice skating at rockefeller center, Explore grand central terminal."
A20,"Winter walk in riverside park, View the holiday window displays on fifth avenue, Visit the brooklyn flea market."
A21,"Indoor observation decks like one world observatory, Explore the morgan library & museum, Dine in little italy."
A22,"Visit the whitney museum of american art, Explore the cloisters, Enjoy a jazz night in harlem."
A23,"Walk the brooklyn bridge, Visit the new york botanical garden, Explore governors island."
A24,"Tour the united nations headquarters, Visit the lower east side tenement museum, Explore the indoor market at eataly."
A25,"Visit the rubin museum of art, Explore the new york transit museum, Attend a concert at the lincoln center."
A26,"Kayaking on the hudson river, Visit the queens night market, Stroll through the bushwick collective's street art."
A27,"Explore the museum of the moving image, Visit the historic green-wood cemetery, Enjoy the food halls at industry city."
A28,"Explore the new york hall of science, Visit madame tussauds wax museum, Enjoy an off-broadway show."
A29,"Sunbathe in bryant park, Rent a bike and ride around coney island, Visit the socrates sculpture park."
A30,"Visit the brooklyn museum, Explore chelsea galleries, Enjoy rooftop bars with city views."
A31,"Explore the intrepid sea, Air & space museum, Visit the museum of the city of new york, Enjoy an escape room experience."
A32,"Relax at brighton beach, Explore the street art in the lower east side, Visit the outdoor smorgasburg food market."
A33,"Visit the indoor oculus at world trade center, Tour the historic new amsterdam theatre, Explore the edge observation deck."
A34,"Visit the skyscraper museum, Explore the museum of jewish heritage, Enjoy an indoor rock climbing session."
A35,"Swim at rockaway beach, Visit the outdoor art installations on the high line, Explore randalls island park."
A36,"Visit the seaglass carousel in battery park, Explore the shops at hudson yards, Enjoy a climate-controlled ferry tour around manhattan."
A37,"Explore the edo-tokyo museum, Indoor shopping at ginza six, Visit the mori art museum."
A38,"Visit the tokyo dome city for winter illuminations, Explore the historic yanaka district, Stroll in kitanomaru park."
A39,"Tour the tokyo metropolitan government building, Explore shinjuku gyoen national garden, Enjoy indoor activities at odaiba."
A40,"Visit the nezu museum and its indoor galleries, Explore the nakano broadway shopping complex, Enjoy a concert at suntory hall."
A41,"Walk around the imperial palace, Visit the outdoor ueno zoo, Explore the antique shops in kappabashi."
A42,"Explore indoor attractions at roppongi hills, Visit the hama rikyu gardens, Enjoy a traditional kaiseki meal in kagurazaka."
A43,"Visit the sumida hokusai museum, Explore the indoor markets of akihabara, Enjoy a kabuki show at kabukiza theatre."
A44,"Picnic in inokashira park, Visit the outdoor tama zoological park, Stroll through the old town of kawagoe."
A45,"Explore the samurai museum, Visit the tokyo national museum, Walk along meguro river."
A46,"Explore the miraikan ? national museum of emerging science and innovation, Visit the panasonic center tokyo, Enjoy shopping at shibuya 109."
A47,"Visit oedo onsen monogatari hot springs, Relax at yoyogi park, Explore the vibrant takeshita street in harajuku."
A48,"Visit the tokyo sea life park, Explore daikanyama area, Enjoy the tokyo midtown complex."
A49,"Isit the sunshine aquarium, Explore the indoor sunshine city complex, Enjoy an art exhibition at the national art center."
A50,"Visit the beach at odaiba marine park, Explore the gardens of shinjuku gyoen, Stroll through the asakusa area."
A51,"Visit the indoor teamlab planets art installation, Explore the historic streets of yanaka, Enjoy a cruise on the tokyo bay."
A52,"Visit the fukagawa edo museum, Explore the indoor laforet museum harajuku, Enjoy an escape room in shibuya."
A53,"Swim at toshimaen niwa no yu, Explore the outdoor showa kinen park, Visit the islands of tokyo bay like oshima."
A54,"Explore the indoor exhibitions at mori building digital art museum, Visit the tokyo tower main deck, Enjoy shopping at kitte marunouchi."
A55,"Explore the british museum, Visit the national gallery, Enjoy afternoon tea at a historic hotel."
A56,"Walk through hyde park, Visit the tower of london, Explore borough market."
A57,"Tour westminster abbey, Visit tate modern, Explore covent garden."
A58,"Explore the british museum, Visit the national gallery, Enjoy afternoon tea at a historic hotel."
A59,"Walk through hyde park, Visit the tower of london, Explore borough market."
A60,"Tour westminster abbey, Visit tate modern, Explore covent garden."
A61,"Explore the british museum, Visit the national gallery, Enjoy afternoon tea at a historic hotel."
A62,"Walk through hyde park, Visit the tower of london, Explore borough market."
A63,"Tour westminster abbey, Visit tate modern, Explore covent garden."
A64,"Explore the british museum, Visit the national gallery, Enjoy afternoon tea at a historic hotel."
A65,"Walk through hyde park, Visit the tower of london, Explore borough market."
